  Instruction      Memory Address      VP_XC  VP_YC  VP_PxD  VP_OW    SET_ADR    Mem Out     Cont    
    000000            0x7fffA0           1      0      0       0         1          1          0     
    000001            0x7fffA0           1      0      0       0         1          1          0     
    000010            0x7fffA1           0      1      0       0         1          1          0     
    000011            0x7fffA1           0      1      0       0         1          1          0     
    000100            0x7fffA2           0      0      1       0         1          1          0     
    000101            0x7fffA2           0      0      1       0         1          1          0     
    000110            0x7fffA3           0      0      0       1         1          1          0     
    000111            0x7fffA3           0      0      0       1         1          1          0     
    001000            0x7fffff           0      0      0       0         0          1          0     
    001001            0x7fffff           0      0      0       0         0          1          0     
    001010            0x7fffff           0      0      0       0         0          0          1     
    001011            0x7fffff           0      0      0       0         0          0          0     
    001100            0x7fffff           0      0      0       0         0          0          0     
    001101            0x7fffff           0      0      0       0         0          0          0     
    001110            0x7fffff           0      0      0       0         0          0          0     
    001111            0x7fffff           0      0      0       0         0          0          0     
    010000            0x7fffff           0      0      0       0         0          0          0     
    010001            0x7fffff           0      0      0       0         0          0          0     
    010010            0x7fffff           0      0      0       0         0          0          0     
    010011            0x7fffff           0      0      0       0         0          0          0     
    010100            0x7fffff           0      0      0       0         0          0          0     
    010101            0x7fffff           0      0      0       0         0          0          0     
    010110            0x7fffff           0      0      0       0         0          0          0     
    010111            0x7fffff           0      0      0       0         0          0          0     
    011000            0x7fffff           0      0      0       0         0          0          0     
    011001            0x7fffff           0      0      0       0         0          0          0     
    011010            0x7fffff           0      0      0       0         0          0          0     
    011011            0x7fffff           0      0      0       0         0          0          0     
    011100            0x7fffff           0      0      0       0         0          0          0     
    011101            0x7fffff           0      0      0       0         0          0          0     
    011110            0x7fffff           0      0      0       0         0          0          0     
    011111            0x7fffff           0      0      0       0         0          0          0     
    100000            0x7fffff           0      0      0       0         0          0          0     
    100001            0x7fffff           0      0      0       0         0          0          0     
    100010            0x7fffff           0      0      0       0         0          0          0     
    100011            0x7fffff           0      0      0       0         0          0          0     
    100100            0x7fffff           0      0      0       0         0          0          0     
    100101            0x7fffff           0      0      0       0         0          0          0     
    100110            0x7fffff           0      0      0       0         0          0          0     
    100111            0x7fffff           0      0      0       0         0          0          0     
    101000            0x7fffff           0      0      0       0         0          0          0     
    101001            0x7fffff           0      0      0       0         0          0          0     
    101010            0x7fffff           0      0      0       0         0          0          0     
    101011            0x7fffff           0      0      0       0         0          0          0     
    101100            0x7fffff           0      0      0       0         0          0          0     
    101101            0x7fffff           0      0      0       0         0          0          0     
    101110            0x7fffff           0      0      0       0         0          0          0     
    101111            0x7fffff           0      0      0       0         0          0          0     
    110000            0x7fffff           0      0      0       0         0          0          0     
    110001            0x7fffff           0      0      0       0         0          0          0     
    110010            0x7fffff           0      0      0       0         0          0          0     
    110011            0x7fffff           0      0      0       0         0          0          0     
    110100            0x7fffff           0      0      0       0         0          0          0     
    110101            0x7fffff           0      0      0       0         0          0          0     
    110110            0x7fffff           0      0      0       0         0          0          0     
    110111            0x7fffff           0      0      0       0         0          0          0     
    111000            0x7fffff           0      0      0       0         0          0          0     
    111001            0x7fffff           0      0      0       0         0          0          0     
    111010            0x7fffff           0      0      0       0         0          0          0     
    111011            0x7fffff           0      0      0       0         0          0          0     
    111100            0x7fffff           0      0      0       0         0          0          0     
    111101            0x7fffff           0      0      0       0         0          0          0     
    111110            0x7fffff           0      0      0       0         0          0          0     
    111111            0x7fffff           0      0      0       0         0          0          0     
